League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Legend III,ruwell,QYP2009,True,24,24,1042,26,0,1,3,20,67,0,2,7,15,61,24,24,,,2.7916666666666665,2.5416666666666665
Electro League 33,Fremdwort,2JUQY0JP,True,18,18,675,67,0,2,3,13,47,0,1,1,16,51,18,18,,,2.611111111111111,2.8333333333333335
Dragon League 28,Santahunter,Q82RQQ80Q,True,14,12,782,4,0,2,4,8,34,1,6,4,1,17,14,14,,,2.4285714285714284,1.4166666666666667
Electro League 31,11Nic011,2PGYUL28,True,10,14,420,81,0,4,5,1,17,0,3,6,5,30,18,18,,,1.7,2.142857142857143
Titan League 27,blu3prOud.,GCV8RVQQ,True,12,10,560,14,0,0,6,6,30,0,3,4,3,20,12,12,,,2.5,2.0
Dragon League 30,IAmDreamwing,9PCRUCV,True,12,13,669,12,0,1,3,8,31,1,5,4,3,22,14,14,,,2.5833333333333335,1.6923076923076923
Electro League 31,Dreamwing,YC9V02V0V,True,11,17,571,82,0,0,7,4,26,0,3,10,4,35,18,18,,,2.3636363636363638,2.0588235294117645
Titan League 27,lord Vader,LURP98PU,True,12,10,523,25,0,2,7,3,25,0,2,7,1,19,12,12,,,2.0833333333333335,1.9
P.E.K.K.A League 23,Volker Racho,GPLRVJ889,True,12,10,521,24,0,1,5,6,29,0,0,8,2,22,12,12,,,2.4166666666666665,2.2
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 23,Reaper,JRLYU9LG,True,12,11,472,52,0,1,7,4,27,0,0,6,5,27,12,12,,,2.25,2.4545454545454546
P.E.K.K.A League 23,Neith,Y8VRJCGYJ,True,8,10,301,75,0,0,4,4,20,0,0,2,8,28,12,12,,,2.5,2.8
Golem League 20,FraizHD,8V99UVRY,True,12,11,584,2,0,0,4,8,32,0,2,6,3,23,12,12,,,2.6666666666666665,2.090909090909091
Golem League 20,Germinator,GGJL90JVP,True,12,10,477,39,0,4,4,4,24,0,1,7,2,21,12,12,,,2.0,2.1
Golem League 20,MopsMaus,GJ9YCG80P,True,12,9,438,54,0,6,2,4,22,1,0,5,3,19,12,12,,,1.8333333333333333,2.111111111111111
-,AS Koma,L0Q9UYVJ0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Löwenkralle2.0,YYJR02GGY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Golem League 19,Misala,GCR08GUPC,True,12,11,465,43,0,1,4,7,30,0,1,2,8,29,12,12,,,2.5,2.6363636363636362
-,Alix,V8VVYGY2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist,LULLURVYC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Turbo_Thorsten,LV0C8VGYV,True,8,6,407,15,0,1,2,5,20,1,2,1,2,10,8,8,,,2.5,1.6666666666666667
-,Kakashi:*,8CQLYYQV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 17,Fabian,GV0RCYC2L,True,1,6,246,64,0,0,1,0,2,0,4,1,1,9,10,10,,,2.0,1.5
Wizard League 11,Dave,R2R200L09,True,8,4,166,67,0,2,5,1,15,0,0,0,4,12,8,8,,,1.875,3.0
Archer League 9,Fogetek,QCQYUVQ0U,True,8,5,515,2,0,0,0,8,24,0,4,1,0,6,8,8,,,3.0,1.2
-,finn_2502,RR2JJPJY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Alexa,GV0U2LPV0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Homers87,R0L9VV290,True,0,5,34,94,0,0,0,0,0,0,0,1,4,14,8,8,,,0,2.8
Archer League 9,bebra00,GLC098UG0,True,0,7,132,90,0,0,0,0,0,1,2,2,2,12,8,8,,,0,1.7142857142857142
-,Schmeili 01we,L0QRYL8Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Barbarian League 6,jjj,LQ2J90RVG,True,6,5,214,44,0,1,2,3,14,1,0,0,4,12,6,6,,,2.3333333333333335,2.4
-,tomm3yr,R0GC8Y9CQ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,mona,GVJLCYGQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 1,GerminatorSuxx,R209PJUYR,True,6,5,211,42,0,1,0,5,16,0,0,0,5,15,6,6,,,2.6666666666666665,3.0
Skeleton League 2,Ar47 remmo,GGVQ0LG9C,True,6,4,362,12,0,1,1,4,15,2,1,0,1,4,6,6,,,2.5,1.0
-,skarmorist2,G2LYLY88Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist3,G08QVJ0QC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 1,ruwell 2.0,R0PYQCJVJ,True,6,4,231,43,0,1,1,4,15,0,1,0,3,10,6,6,,,2.5,2.5
-,Goon,GR2C8VPYY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Hadith,GRR8RPCU9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmoristRush,GVRLLU2J2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Haram,QPULC2929,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,adriano,GV2LRLU09,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Gör,CUJR98JR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,AioScHi,920VG0QRY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,byToobii,9Q80GC22J,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,jonny,LQ9RQ0UJ8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
