League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Electro League 33,ruwell,QYP2009,True,24,17,911,36,0,7,8,9,50,0,3,9,5,36,18,18,,,2.0833333333333335,2.1176470588235294
Electro League 32,Fremdwort,2JUQY0JP,True,24,19,952,33,0,1,12,11,58,0,2,5,12,48,18,18,,,2.4166666666666665,2.526315789473684
Titan League 27,Santahunter,Q82RQQ80Q,True,14,10,680,8,0,2,9,3,29,1,4,4,1,15,12,12,,,2.0714285714285716,1.5
-,11Nic011,2PGYUL28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Titan League 26,blu3prOud.,GCV8RVQQ,True,0,9,215,88,0,0,0,0,0,0,2,5,2,18,12,12,,,0,2.0
Electro League 31,IAmDreamwing,9PCRUCV,True,15,19,922,32,0,5,4,6,31,1,7,10,1,30,18,18,,,2.066666666666667,1.5789473684210527
Dragon League 30,Dreamwing,YC9V02V0V,True,14,14,767,14,0,1,8,5,32,0,8,3,3,23,14,14,,,2.2857142857142856,1.6428571428571428
Titan League 26,lord Vader,LURP98PU,True,6,9,491,36,0,0,1,5,17,0,3,5,1,16,12,12,,,2.8333333333333335,1.7777777777777777
Golem League 20,Volker Racho,GPLRVJ889,True,12,10,469,42,1,1,7,3,24,0,2,5,3,21,12,12,,,2.0,2.1
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 22,Reaper,JRLYU9LG,True,12,9,499,24,0,0,12,0,24,0,2,7,0,16,12,12,,,2.0,1.7777777777777777
P.E.K.K.A League 22,Neith,Y8VRJCGYJ,True,10,8,527,22,1,0,2,7,25,1,1,4,2,15,12,12,,,2.5,1.875
Golem League 19,FraizHD,8V99UVRY,True,12,7,497,23,0,1,8,3,26,0,0,6,1,15,12,12,,,2.1666666666666665,2.142857142857143
Witch League 17,Germinator,GGJL90JVP,True,0,4,92,76,0,0,0,0,0,0,1,1,2,9,10,10,,,0,2.25
Witch League 18,MopsMaus,GJ9YCG80P,True,10,7,282,59,0,4,5,1,17,0,0,4,3,17,10,10,,,1.7,2.4285714285714284
Witch League 18,AS Koma,L0Q9UYVJ0,True,10,8,563,3,0,0,4,6,26,0,3,5,0,13,10,10,,,2.6,1.625
-,Löwenkralle2.0,YYJR02GGY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 16,Misala,GCR08GUPC,True,10,7,430,26,0,1,0,9,28,0,1,1,5,18,10,10,,,2.8,2.5714285714285716
-,Alix,V8VVYGY2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist,LULLURVYC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Turbo_Thorsten,LV0C8VGYV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Kakashi:*,8CQLYYQV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Valkyrie League 14,Fabian,GV0RCYC2L,True,0,5,74,97,0,0,0,0,0,0,0,3,2,12,10,10,,,0,2.4
Wizard League 11,Dave,R2R200L09,True,8,5,199,68,0,2,4,2,16,0,0,0,5,15,8,8,,,2.0,3.0
-,Fogetek,QCQYUVQ0U,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,finn_2502,RR2JJPJY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Alexa,GV0U2LPV0,True,0,3,0,95,0,0,0,0,0,0,0,0,3,9,8,8,,,0,3.0
Wizard League 11,Homers87,R0L9VV290,True,4,5,22,95,3,1,0,0,1,0,0,0,5,15,8,8,,,0.25,3.0
Barbarian League 6,bebra00,GLC098UG0,True,6,3,240,32,0,1,0,5,16,0,0,1,2,8,6,6,,,2.6666666666666665,2.6666666666666665
-,Schmeili 01we,L0QRYL8Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Barbarian League 4,jjj,LQ2J90RVG,True,6,6,326,17,0,2,0,4,14,1,3,1,1,8,6,6,,,2.3333333333333335,1.3333333333333333
Archer League 7,tomm3yr,R0GC8Y9CQ,True,0,5,132,67,0,0,0,0,0,1,1,1,2,9,8,8,,,0,1.8
Barbarian League 6,mona,GVJLCYGQY,True,0,5,0,100,0,0,0,0,0,0,0,0,5,15,6,6,,,0,3.0
-,GerminatorSuxx,R209PJUYR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Ar47 remmo,GGVQ0LG9C,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist2,G2LYLY88Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist3,G08QVJ0QC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,ruwell 2.0,R0PYQCJVJ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Goon,GR2C8VPYY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Hadith,GRR8RPCU9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmoristRush,GVRLLU2J2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Haram,QPULC2929,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,adriano,GV2LRLU09,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
