League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Legend III,ruwell,QYP2009,True,24,22,1172,3,0,1,3,20,67,0,4,10,8,48,24,24,,,2.7916666666666665,2.1818181818181817
Electro League 33,Fremdwort,2JUQY0JP,True,18,18,766,26,0,0,4,14,50,0,3,1,14,47,18,18,,,2.7777777777777777,2.611111111111111
Dragon League 30,Santahunter,Q82RQQ80Q,True,14,13,690,8,0,0,9,5,33,1,3,9,0,21,14,14,,,2.357142857142857,1.6153846153846154
-,11Nic011,2PGYUL28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Dragon League 29,blu3prOud.,GCV8RVQQ,True,14,13,576,29,0,1,4,9,36,0,1,5,7,32,14,14,,,2.5714285714285716,2.4615384615384617
Dragon League 30,IAmDreamwing,9PCRUCV,True,0,13,149,100,0,0,0,0,0,0,2,5,6,30,14,14,,,0,2.3076923076923075
Dragon League 30,Dreamwing,YC9V02V0V,True,0,12,196,94,0,0,0,0,0,0,3,7,2,23,14,14,,,0,1.9166666666666667
Titan League 27,lord Vader,LURP98PU,True,2,9,276,78,0,1,0,1,4,1,2,4,2,16,12,12,,,2.0,1.7777777777777777
Titan League 25,Volker Racho,GPLRVJ889,True,12,7,510,25,0,2,6,4,26,0,1,4,2,15,12,12,,,2.1666666666666665,2.142857142857143
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 23,Reaper,JRLYU9LG,True,5,9,246,76,0,1,4,0,9,0,1,6,2,19,12,12,,,1.8,2.111111111111111
P.E.K.K.A League 24,Neith,Y8VRJCGYJ,True,0,9,145,87,0,0,0,0,0,0,1,6,2,19,12,12,,,0,2.111111111111111
P.E.K.K.A League 22,FraizHD,8V99UVRY,True,12,9,544,11,0,1,2,9,32,0,1,4,4,21,12,12,,,2.6666666666666665,2.3333333333333335
P.E.K.K.A League 22,Germinator,GGJL90JVP,True,12,9,585,5,0,1,6,5,28,0,2,6,1,17,12,12,,,2.3333333333333335,1.8888888888888888
Golem League 21,MopsMaus,GJ9YCG80P,True,12,9,562,13,0,2,3,7,29,0,0,9,0,18,12,12,,,2.4166666666666665,2.0
Golem League 21,AS Koma,L0Q9UYVJ0,True,12,7,393,45,0,5,6,1,20,0,1,3,3,16,12,12,,,1.6666666666666667,2.2857142857142856
Witch League 18,Löwenkralle2.0,YYJR02GGY,True,10,7,545,4,0,0,1,9,29,0,1,5,1,14,10,10,,,2.9,2.0
Golem League 19,Misala,GCR08GUPC,True,12,10,513,24,0,0,3,9,33,0,2,0,8,26,12,12,,,2.75,2.6
Witch League 18,Alix,V8VVYGY2,True,10,8,625,1,0,1,0,9,28,1,4,3,0,10,10,10,,,2.8,1.25
