League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Legend II,ruwell,QYP2009,True,30,28,1145,61,0,2,12,16,74,0,1,7,20,75,30,30,,,2.466666666666667,2.6785714285714284
Electro League 33,Fremdwort,2JUQY0JP,True,18,17,732,36,0,0,4,14,50,0,2,1,14,46,18,18,,,2.7777777777777777,2.7058823529411766
-,11Nic011,2PGYUL28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Electro League 31,Santahunter,Q82RQQ80Q,True,18,15,733,26,0,2,14,2,36,0,4,8,3,29,18,18,,,2.0,1.9333333333333333
Dragon League 29,blu3prOud.,GCV8RVQQ,True,14,12,695,7,0,1,2,11,38,0,3,6,3,24,14,14,,,2.7142857142857144,2.0
-,IAmDreamwing,9PCRUCV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Dreamwing,YC9V02V0V,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Titan League 27,lord Vader,LURP98PU,True,12,8,554,13,0,2,5,5,27,0,3,3,2,15,12,12,,,2.25,1.875
Titan League 26,Volker Racho,GPLRVJ889,True,12,7,411,37,0,3,8,1,22,0,1,4,2,15,12,12,,,1.8333333333333333,2.142857142857143
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 23,FraizHD,8V99UVRY,True,12,7,504,23,0,1,1,10,33,0,0,4,3,17,12,12,,,2.75,2.4285714285714284
P.E.K.K.A League 23,Reaper,JRLYU9LG,True,12,8,546,14,0,2,6,4,26,1,0,6,1,15,12,12,,,2.1666666666666665,1.875
P.E.K.K.A League 23,Neith,Y8VRJCGYJ,True,9,8,540,29,1,1,2,5,20,1,3,4,0,11,12,12,,,2.2222222222222223,1.375
P.E.K.K.A League 22,MopsMaus,GJ9YCG80P,True,12,8,545,17,0,3,6,3,24,0,4,3,1,13,12,12,,,2.0,1.625
P.E.K.K.A League 23,Germinator,GGJL90JVP,True,0,8,198,79,0,0,0,0,0,1,2,3,2,14,12,12,,,0,1.75
Golem League 20,Löwenkralle,YYJR02GGY,True,12,8,637,4,0,0,1,11,35,0,1,6,1,16,12,12,,,2.9166666666666665,2.0
Golem League 20,Misala,GCR08GUPC,True,12,8,522,31,0,0,3,9,33,0,1,2,5,20,12,12,,,2.75,2.5
-,AS Koma,L0Q9UYVJ0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Golem League 19,Alix,V8VVYGY2,True,12,8,744,2,0,0,0,12,36,0,4,4,0,12,12,12,,,3.0,1.5
