League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
-,ruwell,QYP2009,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Electro League 33,Fremdwort,2JUQY0JP,True,24,21,928,39,0,0,10,14,62,0,1,7,13,54,18,18,,,2.5833333333333335,2.5714285714285716
Dragon League 28,Santahunter,Q82RQQ80Q,True,18,12,695,29,0,3,14,1,34,1,3,4,4,23,14,14,,,1.8888888888888888,1.9166666666666667
Dragon League 30,11Nic011,2PGYUL28,True,18,14,835,6,0,2,7,9,43,0,2,9,3,29,14,14,,,2.388888888888889,2.0714285714285716
Titan League 26,blu3prOud.,GCV8RVQQ,True,14,10,784,3,0,0,6,8,36,2,4,2,2,14,12,12,,,2.5714285714285716,1.4
Electro League 31,IAmDreamwing,9PCRUCV,True,12,20,613,87,0,2,6,4,26,0,3,11,6,43,18,18,,,2.1666666666666665,2.15
Electro League 31,Dreamwing,YC9V02V0V,True,15,19,814,56,0,1,6,8,37,0,4,11,4,38,18,18,,,2.466666666666667,2.0
Titan League 27,lord Vader,LURP98PU,True,7,10,472,47,0,1,3,3,16,1,3,4,2,17,12,12,,,2.2857142857142856,1.7
P.E.K.K.A League 23,Volker Racho,GPLRVJ889,True,12,10,436,58,0,5,6,1,20,0,2,5,3,21,12,12,,,1.6666666666666667,2.1
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 23,Reaper,JRLYU9LG,True,12,10,383,69,1,2,9,0,20,0,1,6,3,22,12,12,,,1.6666666666666667,2.2
P.E.K.K.A League 23,Neith,Y8VRJCGYJ,True,9,10,360,75,0,0,5,4,22,0,1,4,5,24,12,12,,,2.4444444444444446,2.4
Golem League 20,FraizHD,8V99UVRY,True,12,10,472,44,0,1,9,2,25,0,1,6,3,22,12,12,,,2.0833333333333335,2.2
Golem League 19,Germinator,GGJL90JVP,True,12,8,559,13,0,1,4,7,30,0,1,6,1,16,12,12,,,2.5,2.0
Golem League 19,MopsMaus,GJ9YCG80P,True,12,8,534,13,0,2,2,8,30,0,0,6,2,18,12,12,,,2.5,2.25
Golem League 19,AS Koma,L0Q9UYVJ0,True,12,10,614,10,0,1,7,4,27,0,5,5,0,15,12,12,,,2.25,1.5
-,Löwenkralle2.0,YYJR02GGY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Golem League 19,Misala,GCR08GUPC,True,12,9,411,53,0,0,6,6,30,0,0,1,8,26,12,12,,,2.5,2.888888888888889
-,Alix,V8VVYGY2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist,LULLURVYC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Turbo_Thorsten,LV0C8VGYV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Kakashi:*,8CQLYYQV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 17,Fabian,GV0RCYC2L,True,10,6,233,63,0,5,3,2,17,0,0,2,4,16,10,10,,,1.7,2.6666666666666665
Wizard League 11,Dave,R2R200L09,True,8,5,154,77,0,3,5,0,13,0,0,0,5,15,8,8,,,1.625,3.0
Archer League 8,Fogetek,QCQYUVQ0U,True,8,4,472,5,0,0,2,6,22,0,2,2,0,6,8,8,,,2.75,1.5
-,finn_2502,RR2JJPJY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Alexa,GV0U2LPV0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Homers87,R0L9VV290,True,8,5,131,81,0,6,1,1,11,0,0,0,5,15,8,8,,,1.375,3.0
Archer League 9,bebra00,GLC098UG0,True,6,6,236,56,0,4,1,1,9,1,1,1,3,12,8,8,,,1.5,2.0
-,Schmeili 01we,L0QRYL8Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Barbarian League 6,jjj,LQ2J90RVG,True,6,3,134,61,0,3,1,2,11,0,0,0,3,9,6,6,,,1.8333333333333333,3.0
-,tomm3yr,R0GC8Y9CQ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,mona,GVJLCYGQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,GerminatorSuxx,R209PJUYR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Skeleton League 1,Ar47 remmo,GGVQ0LG9C,True,6,3,362,11,1,0,0,5,15,1,1,1,0,3,6,6,,,2.5,1.0
-,skarmorist2,G2LYLY88Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist3,G08QVJ0QC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,ruwell 2.0,R0PYQCJVJ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
