League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Legend II,ruwell,QYP2009,True,0,0,0,71,0,0,0,0,0,0,0,0,0,0,30,30,,,0,0
-,Fremdwort,2JUQY0JP,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,11Nic011,2PGYUL28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Electro League 31,Santahunter,Q82RQQ80Q,True,0,0,0,62,0,0,0,0,0,0,0,0,0,0,18,18,,,0,0
Dragon League 30,blu3prOud.,GCV8RVQQ,True,0,0,0,82,0,0,0,0,0,0,0,0,0,0,14,14,,,0,0
Dragon League 29,IAmDreamwing,9PCRUCV,True,0,0,0,52,0,0,0,0,0,0,0,0,0,0,14,14,,,0,0
Dragon League 29,Dreamwing,YC9V02V0V,True,0,0,0,28,0,0,0,0,0,0,0,0,0,0,14,14,,,0,0
Dragon League 28,lord Vader,LURP98PU,True,0,1,28,14,0,0,0,0,0,0,1,0,0,1,14,14,,,0,1.0
Titan League 27,Volker Racho,GPLRVJ889,True,0,1,29,9,0,0,0,0,0,0,1,0,0,1,12,12,,,0,1.0
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 24,FraizHD,8V99UVRY,True,12,1,471,1,0,0,3,9,33,0,1,0,0,1,12,12,,,2.75,1.0
P.E.K.K.A League 24,Reaper,JRLYU9LG,True,0,1,24,33,0,0,0,0,0,0,0,1,0,2,12,12,,,0,2.0
P.E.K.K.A League 24,Neith,Y8VRJCGYJ,True,0,0,0,73,0,0,0,0,0,0,0,0,0,0,12,12,,,0,0
-,MopsMaus,GJ9YCG80P,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 23,Germinator,GGJL90JVP,True,0,0,0,41,0,0,0,0,0,0,0,0,0,0,12,12,,,0,0
Golem League 21,Löwenkralle,YYJR02GGY,True,0,1,29,7,0,0,0,0,0,0,1,0,0,1,12,12,,,0,1.0
Golem League 21,Misala,GCR08GUPC,True,0,0,0,86,0,0,0,0,0,0,0,0,0,0,12,12,,,0,0
Golem League 21,AS Koma,L0Q9UYVJ0,True,0,0,0,60,0,0,0,0,0,0,0,0,0,0,12,12,,,0,0
Golem League 20,Alix,V8VVYGY2,True,0,0,0,50,0,0,0,0,0,0,0,0,0,0,12,12,,,0,0
-,skarmorist,LULLURVYC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 18,Turbo_Thorsten,LV0C8VGYV,True,0,1,15,12,0,0,0,0,0,0,0,1,0,2,10,10,,,0,2.0
Witch League 17,Fabian,GV0RCYC2L,True,0,1,29,23,0,0,0,0,0,0,1,0,0,1,10,10,,,0,1.0
-,Kakashi:*,8CQLYYQV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Valkyrie League 13,Fogetek,QCQYUVQ0U,True,0,0,0,76,0,0,0,0,0,0,0,0,0,0,10,10,,,0,0
Wizard League 12,Dave,R2R200L09,True,2,0,53,6,0,1,0,1,4,0,0,0,0,0,8,8,,,2.0,0
-,finn_2502,RR2JJPJY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
