League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Electro League 33,ruwell,QYP2009,True,24,22,1160,7,0,0,2,22,70,0,2,12,8,50,18,18,,,2.9166666666666665,2.272727272727273
Electro League 33,Fremdwort,2JUQY0JP,True,24,21,994,34,0,1,8,15,62,0,1,10,10,51,18,18,,,2.5833333333333335,2.4285714285714284
Dragon League 28,Santahunter,Q82RQQ80Q,True,18,13,720,26,0,3,13,2,35,0,3,8,2,25,14,14,,,1.9444444444444444,1.9230769230769231
-,11Nic011,2PGYUL28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Titan League 25,blu3prOud.,GCV8RVQQ,True,14,8,813,2,0,1,0,13,40,0,5,1,2,13,12,12,,,2.857142857142857,1.625
Dragon League 30,IAmDreamwing,9PCRUCV,True,15,16,826,11,0,1,2,12,41,0,3,12,1,30,14,14,,,2.7333333333333334,1.875
Electro League 31,Dreamwing,YC9V02V0V,True,14,20,773,63,0,0,6,8,36,0,4,9,7,43,18,18,,,2.5714285714285716,2.15
Titan League 26,lord Vader,LURP98PU,True,14,11,720,8,0,2,5,7,33,1,3,6,1,18,12,12,,,2.357142857142857,1.6363636363636365
P.E.K.K.A League 22,Volker Racho,GPLRVJ889,True,12,10,559,21,1,2,5,4,24,0,4,5,1,17,12,12,,,2.0,1.7
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 23,Reaper,JRLYU9LG,True,12,10,401,69,1,1,9,1,22,0,2,5,3,21,12,12,,,1.8333333333333333,2.1
P.E.K.K.A League 22,Neith,Y8VRJCGYJ,True,12,10,638,5,0,0,1,11,35,0,2,6,2,20,12,12,,,2.9166666666666665,2.0
Golem League 20,FraizHD,8V99UVRY,True,12,10,530,24,0,1,6,5,28,0,3,4,3,20,12,12,,,2.3333333333333335,2.0
Witch League 18,Germinator,GGJL90JVP,True,10,7,434,13,0,0,3,7,27,0,0,3,4,18,10,10,,,2.7,2.5714285714285716
Golem League 19,MopsMaus,GJ9YCG80P,True,12,9,446,41,0,3,6,3,24,0,0,8,1,19,12,12,,,2.0,2.111111111111111
Golem League 19,AS Koma,L0Q9UYVJ0,True,12,9,465,36,0,4,6,2,22,0,2,6,1,17,12,12,,,1.8333333333333333,1.8888888888888888
-,Löwenkralle2.0,YYJR02GGY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 18,Misala,GCR08GUPC,True,10,7,446,20,0,0,3,7,27,1,0,2,4,16,10,10,,,2.7,2.2857142857142856
-,Alix,V8VVYGY2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist,LULLURVYC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Turbo_Thorsten,LV0C8VGYV,True,0,5,171,68,0,0,0,0,0,1,1,2,1,8,8,8,,,0,1.6
-,Kakashi:*,8CQLYYQV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 17,Fabian,GV0RCYC2L,True,1,6,128,91,0,1,0,0,1,0,2,1,3,13,10,10,,,1.0,2.1666666666666665
Wizard League 11,Dave,R2R200L09,True,8,6,212,62,0,4,3,1,13,1,0,0,5,15,8,8,,,1.625,2.5
-,Fogetek,QCQYUVQ0U,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,finn_2502,RR2JJPJY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Alexa,GV0U2LPV0,True,0,4,64,90,0,0,0,0,0,0,1,0,3,10,8,8,,,0,2.5
Wizard League 11,Homers87,R0L9VV290,True,2,5,34,93,0,1,1,0,3,0,0,0,5,15,8,8,,,1.5,3.0
Archer League 8,bebra00,GLC098UG0,True,8,4,430,10,1,1,2,4,17,0,3,1,0,5,8,8,,,2.125,1.25
-,Schmeili 01we,L0QRYL8Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Barbarian League 6,jjj,LQ2J90RVG,True,6,4,150,69,0,2,2,2,12,0,0,0,4,12,6,6,,,2.0,3.0
-,tomm3yr,R0GC8Y9CQ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,mona,GVJLCYGQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,GerminatorSuxx,R209PJUYR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Ar47 remmo,GGVQ0LG9C,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist2,G2LYLY88Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist3,G08QVJ0QC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,ruwell 2.0,R0PYQCJVJ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Goon,GR2C8VPYY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Hadith,GRR8RPCU9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmoristRush,GVRLLU2J2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Haram,QPULC2929,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
